grid,m,dt,seed,epoch,gamma,sV
knee,20,5,125,95,3.0,1.0
knee,20,5,125,96,3.0,0.0
knee,20,5,125,97,3.0,0.0
knee,20,5,125,98,3.0,0.0
knee,20,5,125,99,3.0,1.0
knee,20,5,125,100,3.0,0.0
knee,20,5,126,50,3.0,0.0
knee,20,5,126,51,3.0,0.0
knee,20,5,126,52,3.0,3.0
knee,20,5,126,53,3.0,3.0
knee,20,5,126,54,3.0,3.0
knee,20,5,126,55,3.0,2.0
knee,20,5,126,56,3.0,1.0
knee,20,5,126,57,3.0,2.0
knee,20,5,126,58,3.0,1.0
knee,20,5,126,59,3.0,1.0
knee,20,5,126,60,3.0,0.0
knee,20,5,126,61,3.0,1.0
knee,20,5,126,62,3.0,0.0
knee,20,5,126,63,3.0,0.0
knee,20,5,126,64,3.0,1.0
knee,20,5,126,65,3.0,1.0
knee,20,5,126,66,3.0,0.0
knee,20,5,126,67,3.0,1.0
knee,20,5,126,68,3.0,0.0
knee,20,5,126,69,3.0,0.0
knee,20,5,126,70,3.0,0.0
knee,20,5,126,71,3.0,0.0
knee,20,5,126,72,3.0,2.0
knee,20,5,126,73,3.0,1.0
knee,20,5,126,74,3.0,3.0
knee,20,5,126,75,3.0,1.0
knee,20,5,126,76,3.0,2.0
knee,20,5,126,77,3.0,0.0
knee,20,5,126,78,3.0,2.0
knee,20,5,126,79,3.0,0.0
knee,20,5,126,80,3.0,0.0
knee,20,5,126,81,3.0,0.0
knee,20,5,126,82,3.0,1.0
knee,20,5,126,83,3.0,0.0
knee,20,5,126,84,3.0,0.0
knee,20,5,126,85,3.0,1.0
knee,20,5,126,86,3.0,0.0
knee,20,5,126,87,3.0,1.0
knee,20,5,126,88,3.0,0.0
knee,20,5,126,89,3.0,0.0
knee,20,5,126,90,3.0,1.0
knee,20,5,126,91,3.0,1.0
knee,20,5,126,92,3.0,0.0
knee,20,5,126,93,3.0,0.0
knee,20,5,126,94,3.0,0.0
knee,20,5,126,95,3.0,1.0
knee,20,5,126,96,3.0,0.0
knee,20,5,126,97,3.0,0.0
knee,20,5,126,98,3.0,0.0
knee,20,5,126,99,3.0,2.0
knee,20,5,126,100,3.0,0.0
knee,20,5,127,50,13.0,1.0
knee,20,5,127,51,13.0,13.0
knee,20,5,127,52,13.0,13.0
knee,20,5,127,53,13.0,13.0
knee,20,5,127,54,13.0,5.0
knee,20,5,127,55,13.0,1.0
knee,20,5,127,56,13.0,0.0
knee,20,5,127,57,13.0,0.0
knee,20,5,127,58,13.0,0.0
knee,20,5,127,59,13.0,2.0
knee,20,5,127,60,13.0,0.0
knee,20,5,127,61,13.0,1.0
knee,20,5,127,62,13.0,1.0
knee,20,5,127,63,13.0,13.0
knee,20,5,127,64,13.0,12.0
knee,20,5,127,65,13.0,8.0
knee,20,5,127,66,13.0,4.0
knee,20,5,127,67,13.0,11.0
knee,20,5,127,68,13.0,8.0
knee,20,5,127,69,13.0,13.0
knee,20,5,127,70,13.0,4.0
knee,20,5,127,71,13.0,1.0
knee,20,5,127,72,13.0,3.0
knee,20,5,127,73,13.0,8.0
knee,20,5,127,74,13.0,13.0
knee,20,5,127,75,13.0,7.0
knee,20,5,127,76,13.0,7.0
knee,20,5,127,77,13.0,8.0
knee,20,5,127,78,13.0,10.0
knee,20,5,127,79,13.0,12.0
knee,20,5,127,80,13.0,4.0
knee,20,5,127,81,13.0,8.0
knee,20,5,127,82,13.0,9.0
knee,20,5,127,83,13.0,10.0
knee,20,5,127,84,13.0,13.0
knee,20,5,127,85,13.0,5.0
knee,20,5,127,86,13.0,10.0
knee,20,5,127,87,13.0,10.0
knee,20,5,127,88,13.0,9.0
knee,20,5,127,89,13.0,12.0
knee,20,5,127,90,13.0,4.0
knee,20,5,127,91,13.0,6.0
knee,20,5,127,92,13.0,9.0
knee,20,5,127,93,13.0,10.0
knee,20,5,127,94,13.0,11.0
knee,20,5,127,95,13.0,4.0
knee,20,5,127,96,13.0,2.0
knee,20,5,127,97,13.0,4.0
knee,20,5,127,98,13.0,10.0
knee,20,5,127,99,13.0,10.0
knee,20,5,127,100,13.0,12.0
knee,20,5,128,50,19.0,6.0
knee,20,5,128,51,19.0,2.0
knee,20,5,128,52,23.0,1.0
knee,20,5,128,53,23.0,0.0
knee,20,5,128,54,23.0,0.0
knee,20,5,128,55,23.0,0.0
knee,20,5,128,56,22.0,1.0
knee,20,5,128,57,24.0,16.0
knee,20,5,128,58,24.0,16.0
knee,20,5,128,59,26.0,18.0
knee,20,5,128,60,24.0,10.0
knee,20,5,128,61,24.0,5.0
knee,20,5,128,62,24.0,9.0
knee,20,5,128,63,25.0,13.0
knee,20,5,128,64,25.0,15.0
knee,20,5,128,65,29.0,1.0
knee,20,5,128,66,29.0,3.0
knee,20,5,128,67,29.0,29.0
knee,20,5,128,68,31.0,26.0
knee,20,5,128,69,31.0,29.0
knee,20,5,128,70,33.0,14.0
knee,20,5,128,71,35.0,23.0
knee,20,5,128,72,36.0,21.0
knee,20,5,128,73,35.0,18.0
knee,20,5,128,74,35.0,4.0
knee,20,5,128,75,33.0,0.0
knee,20,5,128,76,33.0,12.0
knee,20,5,128,77,34.0,4.0
knee,20,5,128,78,34.0,1.0
knee,20,5,128,79,29.0,2.0
knee,20,5,128,80,27.0,0.0
knee,20,5,128,81,27.0,13.0
knee,20,5,128,82,29.0,3.0
knee,20,5,128,83,29.0,4.0
knee,20,5,128,84,30.0,5.0
knee,20,5,128,85,30.0,0.0
knee,20,5,128,86,30.0,8.0
knee,20,5,128,87,30.0,2.0
knee,20,5,128,88,30.0,2.0
knee,20,5,128,89,23.0,23.0
knee,20,5,128,90,23.0,19.0
knee,20,5,128,91,23.0,21.0
knee,20,5,128,92,23.0,23.0
knee,20,5,128,93,23.0,22.0
knee,20,5,128,94,23.0,19.0
knee,20,5,128,95,23.0,8.0
knee,20,5,128,96,23.0,21.0
knee,20,5,128,97,23.0,22.0
knee,20,5,128,98,23.0,15.0
knee,20,5,128,99,23.0,4.0
knee,20,5,128,100,23.0,2.0
knee,20,5,129,50,6.0,6.0
knee,20,5,129,51,6.0,2.0
knee,20,5,129,52,6.0,0.0
knee,20,5,129,53,6.0,0.0
knee,20,5,129,54,6.0,6.0
knee,20,5,129,55,6.0,3.0
knee,20,5,129,56,6.0,1.0
knee,20,5,129,57,6.0,1.0
knee,20,5,129,58,6.0,1.0
knee,20,5,129,59,6.0,2.0
knee,20,5,129,60,6.0,2.0
knee,20,5,129,61,6.0,2.0
knee,20,5,129,62,6.0,1.0
knee,20,5,129,63,6.0,1.0
knee,20,5,129,64,6.0,3.0
knee,20,5,129,65,6.0,2.0
knee,20,5,129,66,6.0,2.0
knee,20,5,129,67,6.0,3.0
knee,20,5,129,68,6.0,1.0
knee,20,5,129,69,6.0,3.0
knee,20,5,129,70,6.0,2.0
knee,20,5,129,71,6.0,1.0
knee,20,5,129,72,6.0,1.0
knee,20,5,129,73,6.0,1.0
knee,20,5,129,74,6.0,4.0
knee,20,5,129,75,6.0,0.0
knee,20,5,129,76,6.0,2.0
knee,20,5,129,77,6.0,0.0
knee,20,5,129,78,6.0,1.0
knee,20,5,129,79,6.0,3.0
knee,20,5,129,80,6.0,3.0
knee,20,5,129,81,6.0,3.0
knee,20,5,129,82,6.0,3.0
knee,20,5,129,83,6.0,3.0
knee,20,5,129,84,6.0,1.0
knee,20,5,129,85,6.0,1.0
knee,20,5,129,86,6.0,1.0
knee,20,5,129,87,6.0,1.0
knee,20,5,129,88,6.0,2.0
knee,20,5,129,89,6.0,4.0
knee,20,5,129,90,6.0,2.0
knee,20,5,129,91,6.0,0.0
knee,20,5,129,92,6.0,0.0
knee,20,5,129,93,6.0,0.0
knee,20,5,129,94,6.0,1.0
knee,20,5,129,95,6.0,1.0
knee,20,5,129,96,6.0,3.0
knee,20,5,129,97,6.0,1.0
knee,20,5,129,98,6.0,1.0
knee,20,5,129,99,6.0,0.0
knee,20,5,129,100,6.0,1.0
knee,20,5,130,50,5.0,5.0
knee,20,5,130,51,5.0,1.0
knee,20,5,130,52,5.0,1.0
knee,20,5,130,53,5.0,0.0
knee,20,5,130,54,5.0,1.0
knee,20,5,130,55,5.0,1.0
knee,20,5,130,56,5.0,4.0
knee,20,5,130,57,5.0,4.0
knee,20,5,130,58,6.0,3.0
knee,20,5,130,59,6.0,3.0
knee,20,5,130,60,6.0,1.0
knee,20,5,130,61,6.0,1.0
knee,20,5,130,62,6.0,1.0
knee,20,5,130,63,6.0,1.0
knee,20,5,130,64,6.0,2.0
knee,20,5,130,65,6.0,2.0
knee,20,5,130,66,6.0,3.0
knee,20,5,130,67,6.0,1.0
knee,20,5,130,68,6.0,3.0
knee,20,5,130,69,6.0,0.0
knee,20,5,130,70,6.0,1.0
knee,20,5,130,71,6.0,2.0
knee,20,5,130,72,6.0,2.0
knee,20,5,130,73,6.0,3.0
knee,20,5,130,74,6.0,2.0
knee,20,5,130,75,6.0,0.0
knee,20,5,130,76,6.0,3.0
knee,20,5,130,77,6.0,1.0
knee,20,5,130,78,6.0,3.0
knee,20,5,130,79,6.0,3.0
knee,20,5,130,80,6.0,0.0
knee,20,5,130,81,6.0,3.0
knee,20,5,130,82,6.0,2.0
knee,20,5,130,83,6.0,2.0
knee,20,5,130,84,6.0,1.0
knee,20,5,130,85,6.0,1.0
knee,20,5,130,86,6.0,2.0
knee,20,5,130,87,6.0,3.0
knee,20,5,130,88,6.0,3.0
knee,20,5,130,89,6.0,1.0
knee,20,5,130,90,6.0,0.0
knee,20,5,130,91,6.0,2.0
knee,20,5,130,92,6.0,1.0
knee,20,5,130,93,6.0,1.0
knee,20,5,130,94,6.0,1.0
knee,20,5,130,95,6.0,0.0
knee,20,5,130,96,6.0,2.0
knee,20,5,130,97,6.0,1.0
knee,20,5,130,98,6.0,1.0
knee,20,5,130,99,6.0,0.0
knee,20,5,130,100,6.0,1.0
knee,20,5,131,50,5.0,0.0
knee,20,5,131,51,5.0,0.0
knee,20,5,131,52,5.0,5.0
knee,20,5,131,53,5.0,5.0
knee,20,5,131,54,5.0,5.0
knee,20,5,131,55,5.0,2.0
knee,20,5,131,56,5.0,1.0
knee,20,5,131,57,5.0,2.0
knee,20,5,131,58,5.0,2.0
knee,20,5,131,59,5.0,2.0
knee,20,5,131,60,5.0,1.0
knee,20,5,131,61,5.0,4.0
knee,20,5,131,62,5.0,2.0
knee,20,5,131,63,5.0,2.0
knee,20,5,131,64,5.0,2.0
knee,20,5,131,65,5.0,1.0
knee,20,5,131,66,5.0,1.0
knee,20,5,131,67,5.0,2.0
knee,20,5,131,68,5.0,1.0
knee,20,5,131,69,5.0,0.0
knee,20,5,131,70,5.0,2.0
knee,20,5,131,71,5.0,1.0
knee,20,5,131,72,5.0,0.0
knee,20,5,131,73,5.0,1.0
knee,20,5,131,74,5.0,1.0
knee,20,5,131,75,5.0,3.0
knee,20,5,131,76,5.0,2.0
knee,20,5,131,77,5.0,1.0
knee,20,5,131,78,5.0,0.0
knee,20,5,131,79,5.0,1.0
knee,20,5,131,80,5.0,0.0
knee,20,5,131,81,5.0,0.0
knee,20,5,131,82,5.0,0.0
knee,20,5,131,83,5.0,1.0
knee,20,5,131,84,5.0,2.0
knee,20,5,131,85,5.0,1.0
knee,20,5,131,86,5.0,1.0
knee,20,5,131,87,5.0,1.0
knee,20,5,131,88,5.0,1.0
knee,20,5,131,89,5.0,1.0
knee,20,5,131,90,5.0,2.0
knee,20,5,131,91,5.0,1.0
knee,20,5,131,92,5.0,1.0
knee,20,5,131,93,5.0,0.0
knee,20,5,131,94,5.0,0.0
knee,20,5,131,95,5.0,0.0
knee,20,5,131,96,5.0,0.0
knee,20,5,131,97,5.0,1.0
knee,20,5,131,98,5.0,1.0
knee,20,5,131,99,5.0,0.0
knee,20,5,131,100,5.0,0.0
knee,20,5,132,50,9.0,0.0
knee,20,5,132,51,9.0,9.0
knee,20,5,132,52,10.0,10.0
knee,20,5,132,53,11.0,10.0
knee,20,5,132,54,11.0,3.0
knee,20,5,132,55,11.0,0.0
knee,20,5,132,56,11.0,0.0
knee,20,5,132,57,11.0,0.0
knee,20,5,132,58,11.0,0.0
knee,20,5,132,59,11.0,0.0
knee,20,5,132,60,11.0,6.0
knee,20,5,132,61,11.0,7.0
knee,20,5,132,62,11.0,5.0
knee,20,5,132,63,11.0,6.0
knee,20,5,132,64,11.0,4.0
knee,20,5,132,65,9.0,0.0
knee,20,5,132,66,9.0,3.0
knee,20,5,132,67,9.0,3.0
knee,20,5,132,68,9.0,3.0
knee,20,5,132,69,9.0,1.0
knee,20,5,132,70,9.0,2.0
knee,20,5,132,71,9.0,2.0
knee,20,5,132,72,11.0,0.0
knee,20,5,132,73,11.0,6.0
knee,20,5,132,74,11.0,8.0
knee,20,5,132,75,11.0,3.0
knee,20,5,132,76,11.0,2.0
knee,20,5,132,77,11.0,8.0
knee,20,5,132,78,11.0,6.0
knee,20,5,132,79,11.0,6.0
knee,20,5,132,80,11.0,4.0
knee,20,5,132,81,11.0,1.0
knee,20,5,132,82,11.0,4.0
knee,20,5,132,83,11.0,7.0
knee,20,5,132,84,11.0,5.0
knee,20,5,132,85,11.0,0.0
knee,20,5,132,86,11.0,1.0
knee,20,5,132,87,11.0,2.0
knee,20,5,132,88,11.0,2.0
knee,20,5,132,89,11.0,4.0
knee,20,5,132,90,11.0,0.0
knee,20,5,132,91,11.0,0.0
knee,20,5,132,92,11.0,0.0
knee,20,5,132,93,11.0,3.0
knee,20,5,132,94,12.0,2.0
knee,20,5,132,95,12.0,0.0
knee,20,5,132,96,12.0,1.0
knee,20,5,132,97,12.0,0.0
knee,20,5,132,98,12.0,12.0
knee,20,5,132,99,12.0,12.0
knee,20,5,132,100,12.0,11.0
knee,20,5,133,50,5.0,1.0
knee,20,5,133,51,5.0,0.0
knee,20,5,133,52,5.0,5.0
knee,20,5,133,53,5.0,5.0
knee,20,5,133,54,5.0,5.0
knee,20,5,133,55,5.0,1.0
knee,20,5,133,56,5.0,1.0
knee,20,5,133,57,5.0,2.0
