arm,mbar,dt,seed,epoch,tag_pop,pop_trig,n_tagged,removed,gamma
chronic,16,0,149,64,145,159,26,26,13.0
chronic,16,0,149,66,161,183,30,30,14.0
chronic,16,0,149,69,201,233,38,38,14.0
chronic,16,0,149,71,215,245,40,40,14.0
chronic,16,0,149,72,209,233,38,38,14.0
chronic,16,0,149,74,209,249,42,42,14.0
chronic,16,0,149,76,211,245,40,40,13.0
chronic,16,0,149,79,247,289,48,48,13.0
chronic,16,0,149,82,273,325,54,54,13.0
chronic,16,0,149,85,295,351,58,58,13.0
chronic,16,0,149,87,295,337,56,56,13.0
chronic,16,0,149,88,273,313,52,52,13.0
chronic,16,0,149,89,249,281,46,46,13.0
chronic,16,0,149,91,245,291,48,48,14.0
chronic,16,0,149,94,267,319,54,54,14.0
chronic,16,0,149,98,327,377,62,62,14.0
chronic,16,0,150,50,7,9,2,2,5.0
chronic,16,0,150,51,11,13,2,2,5.0
chronic,16,0,150,52,17,21,4,4,5.0
chronic,16,0,150,53,23,27,4,4,5.0
chronic,16,0,150,54,27,33,6,6,5.0
chronic,16,0,150,55,25,29,4,4,5.0
chronic,16,0,150,56,25,31,6,6,5.0
chronic,16,0,150,57,25,29,4,4,5.0
chronic,16,0,150,58,25,31,6,6,5.0
chronic,16,0,150,59,23,27,4,4,5.0
chronic,16,0,150,60,27,31,6,6,5.0
chronic,16,0,150,61,27,31,6,6,5.0
chronic,16,0,150,62,31,33,6,6,5.0
chronic,16,0,150,63,33,39,6,6,5.0
chronic,16,0,150,64,31,37,6,6,5.0
chronic,16,0,150,65,35,39,6,6,5.0
chronic,16,0,150,66,35,41,6,6,5.0
chronic,16,0,150,67,33,39,6,6,5.0
chronic,16,0,150,68,37,41,6,6,5.0
chronic,16,0,150,69,37,41,6,6,5.0
chronic,16,0,150,70,35,41,6,6,5.0
chronic,16,0,150,71,31,37,6,6,5.0
chronic,16,0,150,72,31,37,6,6,5.0
chronic,16,0,150,73,29,35,6,6,5.0
chronic,16,0,150,74,27,33,6,6,5.0
chronic,16,0,150,75,27,33,6,6,5.0
chronic,16,0,150,76,29,35,6,6,5.0
chronic,16,0,150,77,29,35,6,6,5.0
chronic,16,0,150,78,29,35,6,6,5.0
chronic,16,0,150,79,31,37,6,6,5.0
chronic,16,0,150,80,31,37,6,6,5.0
chronic,16,0,150,81,33,37,6,6,5.0
chronic,16,0,150,82,33,39,6,6,5.0
chronic,16,0,150,83,35,41,6,6,5.0
chronic,16,0,150,84,33,39,6,6,5.0
chronic,16,0,150,85,29,35,6,6,5.0
chronic,16,0,150,86,27,33,6,6,5.0
chronic,16,0,150,87,27,33,6,6,5.0
chronic,16,0,150,88,31,35,6,6,5.0
