arm,mbar,dt,seed,epoch,tag_pop,n_tagged,removed,gamma
chronic,26,0,146,68,423,82,82,24.0
chronic,26,0,146,70,427,80,80,24.0
chronic,26,0,146,72,415,82,82,27.0
chronic,26,0,146,74,397,78,78,18.0
chronic,26,0,146,76,387,76,76,18.0
chronic,26,0,146,78,391,76,76,18.0
chronic,26,0,146,80,385,76,76,18.0
chronic,26,0,146,81,357,66,66,18.0
chronic,26,0,146,82,345,64,64,18.0
chronic,26,0,146,83,299,60,60,18.0
chronic,26,0,146,84,263,52,52,18.0
chronic,26,0,146,85,239,48,48,18.0
chronic,26,0,146,87,245,48,48,18.0
chronic,26,0,146,89,259,50,50,18.0
chronic,26,0,146,91,267,54,54,18.0
chronic,26,0,146,93,281,56,56,18.0
chronic,26,0,146,95,297,58,58,18.0
chronic,26,0,146,97,309,62,62,18.0
chronic,26,0,146,99,319,64,64,18.0
chronic,26,0,147,50,7,2,2,15.0
chronic,26,0,147,51,17,4,4,15.0
chronic,26,0,147,52,35,8,8,15.0
chronic,26,0,147,53,55,10,10,15.0
chronic,26,0,147,54,75,14,14,15.0
chronic,26,0,147,55,87,18,18,15.0
chronic,26,0,147,56,93,16,16,15.0
chronic,26,0,147,57,97,18,18,15.0
chronic,26,0,147,58,101,20,20,15.0
chronic,26,0,147,59,99,20,20,15.0
chronic,26,0,147,60,107,20,20,15.0
chronic,26,0,147,61,109,22,22,15.0
chronic,26,0,147,62,105,22,22,17.0
chronic,26,0,147,63,111,22,22,18.0
chronic,26,0,147,64,115,22,22,16.0
chronic,26,0,147,65,121,22,22,16.0
chronic,26,0,147,66,125,24,24,17.0
chronic,26,0,147,68,145,28,28,17.0
chronic,26,0,147,69,145,26,26,17.0
chronic,26,0,147,70,129,26,26,17.0
chronic,26,0,147,71,121,24,24,17.0
chronic,26,0,147,72,107,22,22,17.0
chronic,26,0,147,73,105,20,20,20.0
chronic,26,0,147,74,107,20,20,17.0
chronic,26,0,147,75,107,22,22,17.0
chronic,26,0,147,77,141,28,28,17.0
chronic,26,0,147,79,177,34,34,17.0
chronic,26,0,147,81,209,40,40,19.0
chronic,26,0,147,83,227,44,44,19.0
chronic,26,0,147,84,203,40,40,19.0
chronic,26,0,147,85,195,36,36,19.0
chronic,26,0,147,86,171,34,34,19.0
chronic,26,0,147,88,177,34,34,21.0
chronic,26,0,147,90,199,38,38,25.0
chronic,26,0,147,94,311,60,60,25.0
chronic,26,0,147,96,325,62,62,25.0
chronic,26,0,147,98,315,60,60,25.0
chronic,26,0,147,99,287,52,52,25.0
chronic,26,0,148,50,7,2,2,14.0
chronic,26,0,148,51,19,4,4,15.0
chronic,26,0,148,52,41,8,8,15.0
chronic,26,0,148,53,51,10,10,15.0
chronic,26,0,148,54,57,12,12,15.0
chronic,26,0,148,55,67,12,12,15.0
chronic,26,0,148,56,75,14,14,15.0
chronic,26,0,148,57,89,16,16,15.0
chronic,26,0,148,58,97,18,18,15.0
chronic,26,0,148,59,103,20,20,15.0
chronic,26,0,148,60,109,22,22,15.0
chronic,26,0,148,61,111,22,22,15.0
chronic,26,0,148,62,117,24,24,15.0
chronic,26,0,148,63,119,24,24,15.0
chronic,26,0,148,64,119,24,24,15.0
chronic,26,0,148,65,111,20,20,15.0
chronic,26,0,148,66,103,20,20,16.0
chronic,26,0,148,67,101,20,20,16.0
chronic,26,0,148,68,101,20,20,16.0
chronic,26,0,148,69,103,20,20,16.0
chronic,26,0,148,70,109,20,20,17.0
chronic,26,0,148,71,109,20,20,16.0
chronic,26,0,148,72,109,22,22,16.0
chronic,26,0,148,73,111,22,22,17.0
chronic,26,0,148,74,109,22,22,15.0
chronic,26,0,148,75,117,22,22,14.0
chronic,26,0,148,76,111,22,22,14.0
chronic,26,0,148,77,101,20,20,14.0
chronic,26,0,148,78,99,18,18,14.0
chronic,26,0,148,79,99,18,18,21.0
chronic,26,0,148,80,91,18,18,21.0
chronic,26,0,148,81,89,18,18,21.0
chronic,26,0,148,82,97,18,18,23.0
chronic,26,0,148,83,101,20,20,23.0
chronic,26,0,148,85,145,28,28,23.0
chronic,26,0,148,89,265,52,52,23.0
chronic,26,0,148,93,371,72,72,23.0
chronic,26,0,148,94,345,64,64,23.0
chronic,26,0,148,96,333,64,64,23.0
