p,m,seed,slope,k,gamma,sV
0.9,12,141,2.113,50,8.0,5.2
0.9,12,142,0.027,11,13.53,6.37
0.9,12,143,-0.54,4,27.23,10.5
0.9,12,144,0.014,8,18.47,8.73
0.9,12,145,0.257,6,20.1,8.37
0.9,12,146,-0.146,10,16.3,8.07
0.9,12,147,-0.135,48,6.4,2.9
0.9,12,148,-0.269,14,16.5,7.0
0.9,12,149,0.102,44,7.0,2.73
0.9,12,150,5.023,47,4.0,1.7
0.9,12,151,0.294,8,18.87,7.1
0.9,12,152,3.394,50,7.0,4.5
0.9,12,153,0.256,7,20.17,7.5
0.9,12,154,2.305,51,7.0,3.93
0.9,12,155,0.073,29,14.9,9.77
0.9,12,156,0.858,51,6.0,2.57
0.9,12,157,0.594,51,7.97,4.23
0.9,12,158,-0.05,21,17.03,13.23
0.9,12,159,-0.303,17,23.2,11.17
0.9,12,160,3.216,51,6.0,3.47
0.9,16,141,2.883,51,8.0,4.23
0.9,16,142,0.042,22,13.33,4.87
0.9,16,143,-0.263,7,27.87,10.53
0.9,16,144,0.09,16,17.73,10.23
0.9,16,145,-0.124,14,17.4,6.97
0.9,16,146,-0.027,29,14.73,8.73
0.9,16,147,-2.445,51,7.33,2.43
0.9,16,148,0.063,29,14.0,5.63
0.9,16,149,0.131,51,7.0,2.23
0.9,16,150,7.631,47,4.0,1.4
0.9,16,151,-0.012,19,15.57,6.23
0.9,16,152,4.236,51,7.0,3.2
0.9,16,153,0.251,11,21.67,8.83
0.9,16,154,1.992,51,7.0,3.03
0.9,16,155,-3.18,51,10.03,4.7
0.9,16,156,2.59,51,6.3,2.17
0.9,16,157,-0.445,51,8.17,3.2
0.9,16,158,0.018,21,19.93,12.07
0.9,16,159,0.001,30,19.97,15.17
0.9,16,160,4.368,51,6.0,2.33
0.9,20,141,5.227,51,8.0,3.27
0.9,20,142,-0.05,33,13.67,4.5
0.9,20,143,0.116,39,14.0,7.17
0.9,20,144,0.071,18,20.7,10.67
0.9,20,145,-0.036,28,14.8,3.8
0.9,20,146,-0.0,28,17.03,6.3
0.9,20,147,4.095,51,6.0,1.3
0.9,20,148,0.067,28,16.63,4.87
0.9,20,149,1.041,51,7.0,1.77
0.9,20,150,11.273,49,4.0,1.13
0.9,20,151,0.052,27,16.27,4.37
0.9,20,152,9.383,51,7.0,3.73
0.9,20,153,0.395,21,19.0,5.8
0.9,20,154,3.954,51,7.0,2.03
0.9,20,155,1.642,51,7.7,2.47
0.9,20,156,0.645,51,8.0,2.13
0.9,20,157,3.035,51,7.87,2.33
0.9,20,158,-0.19,33,18.27,11.0
0.9,20,159,-0.731,26,27.93,9.77
0.9,20,160,7.794,51,6.0,2.17
0.9,26,141,8.602,51,8.0,2.43
0.9,26,142,-0.188,47,13.57,3.87
0.9,26,143,-0.251,34,24.63,8.13
0.9,26,144,-0.073,29,23.43,11.23
0.9,26,145,-0.065,37,16.4,4.3
0.9,26,146,0.239,30,22.23,6.4
0.9,26,147,9.694,51,5.93,0.9
0.9,26,148,-2.776,51,12.37,3.63
0.9,26,149,8.409,51,6.0,0.8
0.9,26,150,15.412,50,4.0,0.53
0.9,26,151,-0.029,39,17.1,4.67
0.9,26,152,10.042,51,7.0,2.17
0.9,26,153,-0.002,27,21.4,7.37
0.9,26,154,8.969,51,7.0,1.63
0.9,26,155,-0.961,51,11.07,2.23
0.9,26,156,9.217,51,6.23,1.0
0.9,26,157,2.113,51,9.67,2.0
0.9,26,158,-0.748,44,18.0,9.47
0.9,26,159,-0.181,40,24.07,11.63
0.9,26,160,13.527,51,6.0,2.1
0.9,32,141,14.188,51,8.0,2.43
0.9,32,142,-0.18,51,14.0,2.5
0.9,32,143,3.013,51,13.0,4.5
0.9,32,144,-0.075,24,31.13,11.33
0.9,32,145,-0.099,44,17.1,3.97
0.9,32,146,-0.337,51,15.0,5.23
0.9,32,147,7.766,51,8.0,0.9
0.9,32,148,13.956,51,6.0,0.43
0.9,32,149,13.673,51,6.0,0.33
0.9,32,150,21.684,49,4.0,0.73
0.9,32,151,0.07,48,16.13,5.17
0.9,32,152,14.893,51,7.0,1.57
0.9,32,153,-0.113,38,20.13,5.87
0.9,32,154,13.384,51,7.0,1.23
0.9,32,155,0.239,51,11.9,2.03
0.9,32,156,14.27,51,6.0,0.5
0.9,32,157,11.132,51,7.77,1.33
0.9,32,158,-3.734,48,18.0,7.77
0.9,32,159,-0.578,46,25.07,15.07
0.9,32,160,16.934,51,6.0,1.17
0.9,40,141,20.458,51,8.0,1.83
0.9,40,142,2.218,51,14.0,2.37
0.9,40,143,-1.416,51,17.43,4.83
0.9,40,144,2.374,51,15.9,5.1
0.9,40,145,-0.833,51,17.43,4.27
0.9,40,146,-6.085,51,17.83,3.47
0.9,40,147,21.447,51,6.33,0.37
0.9,40,148,2.613,51,13.8,1.93
0.9,40,149,18.717,51,7.0,0.47
0.9,40,150,28.99,50,4.0,0.77
0.9,40,151,-1.556,51,16.47,3.37
0.9,40,152,22.504,51,7.0,1.57
0.9,40,153,-1.661,50,18.87,4.53
0.9,40,154,19.705,51,7.0,0.8
0.9,40,155,16.823,51,8.0,0.77
0.9,40,156,20.023,51,6.5,0.43
0.9,40,157,19.059,51,7.63,1.1
0.9,40,158,-1.152,51,18.4,6.6
0.9,40,159,0.01,51,19.0,6.43
0.9,40,160,24.36,51,6.0,1.2
