mbar,dt,seed,slope,k,gamma,sV
40,4,115,25.934,46,4.0,0.17
40,4,116,-2.824,38,18.97,4.6
40,4,117,19.853,46,6.0,0.23
40,4,118,11.277,46,9.0,0.9
40,4,119,2.422,46,11.63,0.87
40,4,120,-0.566,46,13.0,1.63
40,8,101,-2.467,46,10.0,0.87
40,8,102,5.992,46,7.17,0.17
40,8,103,-1.139,12,58.43,25.0
40,8,104,-5.277,29,26.43,11.7
40,8,105,-10.251,46,14.5,2.6
40,8,106,-3.121,46,11.0,1.13
40,8,107,14.019,46,5.0,0.5
40,8,108,-7.935,38,31.4,20.63
40,8,109,-9.309,46,12.97,1.73
40,8,110,10.909,46,6.0,0.8
40,8,111,-5.093,34,16.27,6.27
40,8,112,-6.341,32,27.73,9.27
40,8,113,14.744,46,5.0,0.73
40,8,114,-2.576,20,43.87,16.77
40,8,115,16.587,46,4.0,0.3
40,8,116,-7.416,34,20.13,4.57
40,8,117,12.769,46,4.87,0.2
40,8,118,4.823,46,7.2,0.63
40,8,119,-7.244,46,12.0,1.2
40,8,120,-8.825,46,12.8,1.6
